Field_mT	Voltage_V
-100.0	1.0
-95.0	1.0875
-90.0	1.175
-85.0	1.2625
-80.0	1.35
-75.0	1.4375
-70.0	1.525
-65.0	1.6125
-60.0	1.7000000000000002
-55.0	1.7875
-50.0	1.875
-45.0	1.9625000000000001
-40.0	2.05
-35.0	2.1375
-30.0	2.225
-25.0	2.3125
-20.0	2.4000000000000004
-15.0	2.4875
-10.0	2.575
-5.0	2.6625
0.0	2.75
5.0	2.8375000000000004
10.0	2.9250000000000003
15.0	3.0125
20.0	3.1
25.0	3.1875
30.0	3.2750000000000004
35.0	3.3625000000000003
40.0	3.45
45.0	3.5375
50.0	3.6250000000000004
55.0	3.7125000000000004
60.0	3.8000000000000003
65.0	3.8875
70.0	3.975
75.0	4.0625
80.0	4.15
85.0	4.237500000000001
90.0	4.325
95.0	4.4125000000000005
100.0	4.5
